clippings,url,victim
"ohio.19 . four indians—lallacee , pierre paul , antley , and pascale—at missoula , montana berni „ la montague , at sherbrooke , ont.£i . mary eleanor wheeler , alias mrs. pearcey , at london , england.victims of judge lynch.february , i13 . george corvett at crawfordsvillo , ark.27 . brown washington nefar madison , ga.march.8 . allen and witherford irving at princeton , w . va , amos stanton atbromfield , neb.henry williams at gadsden , .tenn.benjamin grewel at robinson station , ky.robert mosley near huntsville , alamay.c . m. miles in indian territory./ed .bennett at h^earue , texas./'june.george swayze at-kast feliciana , la- • : v.july.green jackson at fort white , fla'auou8t , william beaver near warren , ark.charles pratt at blair , neb , thomas woodward at humboldt , tenn.'september.thomas smith at poplar bluff , mo.october.ernest humphreys at princeton , ky , irank wooden at homer , la.bill singleton",https://chroniclingamerica.loc.gov/lccn/sn2001063112/1891-01-02/ed-1/seq-3/ocr/,brown washington
"of a caucus wasmade on either side of the chamber so faras 1 know until some time after this billwas reported , and i thoroughly concur inwhat has been said by the senator fromcolorado , that there is no agreement orunderstanding on this side of the chamberto vote for the bill jones of arkansas—members of therepublican party have said to me in pnrate conversation that this bill bad beenapproved by every senator from colorado.harris , member of the finance committee . said the bill was reported by a majority- vote of that committee . he had noknowledge or suspicion of a caucus havingbad anything to do with it . the minority of the committee bad ( when the billwas under consideration ) favored , andstill favored , the absolute tree coinage ofsilver , but the question with that minority , of which he was one , had .narroweditself down to the point",https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-05-14/ed-1/seq-1/ocr/,bill jones
"robertson , of west hope , andu . s. , mail carrier oyer the langdonelkwdod routs is sending his eldest sonto the mid-winter term at the state agricultural college at fargo.hannah volunteers went to the aid oftheir neighboring townsmen at wales onthe occasion of the fire christmas nighton one of jim hill 's hand cars , butenroute got blockaded in a snow dritt.milton wag treated to a sunday afternoon socialist lecture during the holidayweek by a. bowen jr. , of grand forks , who was the party candidate for governor of this state at the november election . his lecture was illustrated bylantqrn views , a tlarinah party composed of editorboyd , druggist dan mcgruer , dr. lawand customs inspector myers are planning a trip throngh washington , britishcolumbia and other points on the pacificcoast . they leave about the middle ofthe month and will be away peveralmonths.d , a. oakland one",https://chroniclingamerica.loc.gov/lccn/sn88076432/1913-01-09/ed-1/seq-1/ocr/,jim hill
"apart of the evening ’ s entertainment.refreshments were served and ageneral good time was participated iniby all.the guests of tho evening were : ! misses maud hunter , jessie hanna , myrtle glaze , beatrice barnard , florence burdock and messrs. ira kent , claude lafferty , bert richardson and walter davis .d . l. clark dead.prominent business man of newtonsuccumbs suddenly.newton , la. , sept. 22 . —d . l.clark , a prominent banker of this city , diedyesterday . mr. clark was 81 yearsold and the evening before went outto the barn to look after some stock.his long absence caused borne members of the family to go in search ofhim and he was found lying on theground unconscious near the stable.he was picked up and carried intothe house , but died within a f§jrhours . ho did not regain consciousness previous to death.the deceased was the grandfatherof mrs. ralph mccurdy",https://chroniclingamerica.loc.gov/lccn/sn87058308/1903-09-24/ed-1/seq-5/ocr/,walter davis
", of aubry , in attempting to pass in front of an enginestumbled and was struck down on thetrack . it is thought he will recover.as the west bound train was running near sabinal station a prisonerjumped from the train and made hisescape . the sheriff had fallen asleep.mr . jack jones of eddy has shippedfrom there 4 carloads of tine beeves forthe chicago market , one of whichtipped the beam at 1,914 and a threeyear-old that weighed 1,320.w . c. cargil , deputy sheriff frommilam county , has been at clarksvilleseveral days on the track of two desperate negroes , and has finally caughtthem . one was shot and will die.the denison laud and investmentco . has sold its landed interest in andnear that city to the new englandsyndicate for $ 3oo 000. real estate ischanging hands rapidly.a large delegation of the texassaengerfest association , after formingin the procession with the",https://chroniclingamerica.loc.gov/lccn/sn86090439/1889-04-23/ed-1/seq-1/ocr/,jack jones
"- k.12 . .thomas h. murray ........ c -i b ; .13. . amzi bradshaw .els.14 . .james r. seely frcemouu.15 .. j. il llttlcfleld robertson.10.17.18.10 .. 1. j. goree wikr .. george qulnao .wnartoc .. charles stewart ..... ...... harrif .. charles l. cleveland . .. galveston.20 . . william thompson . .. washington.21 . .b . w. kimes fulte.23 .. c. b. peasle .mclennan.23 .. c. m. pesree ..... tarrant.24 .. o. g. thorns ...... borqw.85 .. n. g. shelley , travis.26 . .b . f. dunn fayette.27 . .geo . mccormick . . . .... colorado.28 .. c. f. bailey ... ' .. aransas.29 .. john 8. ford ... : cameror.30 .. charles montague .... . . , .mod na.31 .. a. n. denton hrvconsumptives should be warned tbpt '' whisky and rock candy , '' which mixture is now held by barkeepers and thesun to be a sovereign",https://chroniclingamerica.loc.gov/lccn/sn83021327/1878-01-31/ed-1/seq-1/ocr/,william thompson
"roadswill be assured . the system is in vogue injefferson county and the boost of th . tconuty is its good roads . the law willnot be submitted to the vote of the incorporated tbvvns in the county martinsburg and hedgesville , an appropriation of $ 55 was made to thomas linton , out of the arden districtfund , for the improvement of tne ardenroad between the farm of henry j. seibertand horner s saw mill.court took a recess at noon for dinner , after which it reconvened to take up otherquestions referring to road improvement ! -.doing west and northwest.the best line west of chicago if youare goin^ to any point in montana , idaho , washington , oregon , kansas , nebraska , colorado . wyoming , utah , nevada orcalifornia , is the chicago , milwaukee andst . l ’ aul railway . direct and short linesbetween chicago ,",https://chroniclingamerica.loc.gov/lccn/sn85059533/1900-10-13/ed-1/seq-3/ocr/,thomas linton
"the publicsthools of the city and had residedhere all of her life . besides hermother , mrs. mary l. anderson , sheis survived by two sisters , mrs. c.stephenson of dos moines , iowa , andmrs . s. h. pearson o pittsburgh , pa. , and two brothers , o. lewis anderson of los angeles , cal. , and theodoreanderson of flint , mich.the funeral will be held from thehome sunday afternoon at 2 o'clockand from the swedish lutheranchurch at 2:30 , rev . s. g. hagglundofficiating . burial will take place atchippiannock cemetery.fixer al of mrs. froiiboes.the funeral of mrs. margurethafrohboes was held from the home , 1434seventeenth street , this afternoon at 2o'clock . rev . i. o. xothstein officiating . burial took place at the ' germanlutheran cemetery.presf ott fixf.hal.the funeral of oscar prescott , whodied at his home in milan wednesdaynight , will be held from the methodistan",https://chroniclingamerica.loc.gov/lccn/sn92053934/1912-03-01/ed-1/seq-5/ocr/,lewis anderson
"* alwaysready to buy your fruit and produce ocot , fax gazette . c < > leak . washington , august 12 , 1904local hrevitieg.dr a. k. stuht , chairman of the republican county ceutral committee , hasappointed howard bramwplj secretaryof that committee . mr. bramwell hasaccepted the appointment . philip davis met an affectionate fellowfriday evening and later found himself■by a silver watch . the sheriff 's officearrested ed . allen saturday morningand mr. davis identified him as the manwho bad `` touched him . '' allen is injail charged with larcpny from the person.i ) . b. dorsey has purchased the hands > me residence of a. c. warner in southcolfax for $ 1800 . mr. warner will occupy the property for a short time . heexpects to build a modern home in colfax nest spring.l . p. boned * of gartield is having anumber of grain cleaners for warehousesand",https://chroniclingamerica.loc.gov/lccn/sn88085460/1904-08-12/ed-1/seq-2/ocr/,philip davis
"a. hanson andson , all from bowbells , spent apleasant thursday afternoon withfred hansens.mr . and mrs. rev . e. r. andersonand sons from kenmare spent wednesday night and thursday with h.h . hansens.mr . nelson , the plasterer , completed the plastering at jorgenhansens friday and went to the fred johnson home the followingday to do some work.sam knutson went out in thehills wednesday to do some fencingand other work on his farm there.his brother knute , who has beentaking care of the cattle out there , returned with him saturday.miss rosella hansen has commenced to give music lessons againto rudolph erickson.a few of the friends and relativesof h. h. hansen helped him celebrate his 43rd birthday mondayevening . ice cream and cake waaserved by mrs. hansen and wasvery heartily consumed of by all.the evening was spent by variousamusements , and ail report a verypleasant time.the danish lutherans held theirsunday schoolEND CLIPPING | START CLIPPINGinboat riding in sam rohe 's imotorboat . the girls brought a picniclunch which was heartily enjoyed , and a pleasant time is reported.mr . and mrs. adolph rasmussenpleasantly entertained the followingon sunday : mr. and mrs. christthies and two nieces , mr. and mrs.jorgen hansen and younger children and fred johnson and daughter hazel . those present report anenjoyable time.mr . and mrs. tom torkelson andmr . and mrs. enget of powers lakespent sunday afternoon at the l. t.jacobson home.mr . and mrs. finger skardet andl . p. sorenson of near vanvillespent sunday afternoon at theknutson home.about seventy-five people gathered at the nels jensen home fri-are you a wild oats farmerif you have some land infestedwith wild oats , drill it into winterrye and timothy this fall , take offyour crop of rye next year and thentake off two timothy crops next twoyears , under this jystem you getthree paying crops",https://chroniclingamerica.loc.gov/lccn/sn88076095/1917-08-24/ed-1/seq-8/ocr/,fred johnson
