newspaper,reprint_date,url
Alexandria gazette,1888-10-05,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/alexandria_gazette.jpg
Waco evening news,1888-10-05,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/waco_evening_news.jpg
The Wheeling daily intelligencer,1888-10-06,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/wheeling_daily_intelligencer.jpg
The Indianapolis journal,1888-10-06,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/indianapolis_journal.jpg
Wichita eagle,1888-10-06,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/wichita_eagle.jpg
Wheeling register,1888-10-06,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/wheeling_daily_intelligencer.jpg
The morning news,1888-10-06,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/morning_news.jpg
The Emporia weekly news,1888-10-11,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/emporia_weekly_news.jpg
The Penn's Grove record,1888-10-13,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/penns_grove_record.jpg
Pittsburg dispatch,1889-01-01,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/aaron_bean_clippings/pittsburgh_dispatch.jpg
