newspaper,reprint_date,url
Alexandria gazette,1888-07-16,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/alexandria_gazette.jpg
St. Paul daily globe,1888-07-16,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/st_paul_daily_globe.jpg
The Indianapolis journal,1888-07-16,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/indianapolis_journal.jpg
Morning journal and courier,1888-07-16,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/morning_journal_and_courier.jpg
The sun,1888-07-16,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/the_sun.jpg
The Portland daily press,1888-07-16,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/portland_daily_press.jpg
The morning news,1888-07-16,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/morning_news.jpg
Daily Kennebec journal,1888-07-16,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/daily_kennebec_journal.jpg
The evening bulletin,1888-07-17,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/The_evening_bulletin.jpg
Semi-weekly interior journal,1888-07-17,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/semi-weekly_interior_journal.jpg
Springfield daily republic,1888-07-17,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/springfield_daily_republic.jpg
The Somerset herald,1888-07-18,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/the_somerset_herald.jpg
The Brookhaven leader,1888-07-19,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/the_brookhaven_leader.jpg
The Cambria freeman,1888-07-20,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/the_cambria_freeman.jpg
Shepherdstown register,1888-07-20,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/shepherdstown_register.jpg
Griggs courier,1888-07-20,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/griggs_courier.jpg
The Charlotte Democrat,1888-07-20,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/the_charlotte_democrat.jpg
St. Landry democrat,1888-07-21,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/st_landry_democrat.jpg
Charlotte messenger,1888-07-21,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/charlotte_messenger.jpg
Martinsburg herald,1888-07-21,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/martinsburg_herald.jpg
Pittsburg dispatch,1889-01-01,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/pittsburg_dispatch.jpg
Wessington Springs herald,1889-01-04,https://vrt-victim-centered-dataset.tor1.cdn.digitaloceanspaces.com/exhibit_files/john_humphreys_clippings/wessington_springs_herald.jpg
